pid,state,eventid,hashKey,submit_time,timestamp,timestampString
9991n,USER_IDLE,8,1538080630000USER_IDLE9991n,"2018-09-27 13:48:36",1538080630000,"2018-09-27 13:37:10"
9991n,USER_IDLE,6,1538081529000USER_IDLE9991n,"2018-09-27 14:18:36",1538081529000,"2018-09-27 13:52:09"
9991n,USER_IDLE,8,1538082130000USER_IDLE9991n,"2018-09-27 14:18:36",1538082130000,"2018-09-27 14:02:10"
9991n,USER_IDLE,6,1538083029000USER_IDLE9991n,"2018-09-27 14:18:36",1538083029000,"2018-09-27 14:17:09"
9991n,USER_ACTIVE,7,1538083041000USER_ACTIVE9991n,"2018-09-27 14:18:36",1538083041000,"2018-09-27 14:17:21"
9991n,USER_IDLE,15,1538083101000USER_IDLE9991n,"2018-09-27 14:18:36",1538083101000,"2018-09-27 14:18:21"
9991n,USER_IDLE,8,1538083642000USER_IDLE9991n,"2018-09-27 14:48:36",1538083642000,"2018-09-27 14:27:22"
9991n,USER_IDLE,6,1538084541000USER_IDLE9991n,"2018-09-27 14:48:36",1538084541000,"2018-09-27 14:42:21"
9991n,USER_IDLE,8,1538085142000USER_IDLE9991n,"2018-09-27 15:18:36",1538085142000,"2018-09-27 14:52:22"
9991n,USER_IDLE,6,1538086041000USER_IDLE9991n,"2018-09-27 15:18:36",1538086041000,"2018-09-27 15:07:21"
9991n,USER_IDLE,8,1538086643000USER_IDLE9991n,"2018-09-27 15:18:36",1538086643000,"2018-09-27 15:17:23"
