"Plot Title: 10959074"
"#","Date Time, GMT-07:00","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH1)","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH2)"
423,11/02/18 04:19:00 PM,0,0
424,11/02/18 04:19:10 PM,0,0
425,11/02/18 04:19:20 PM,1,1
426,11/02/18 04:19:30 PM,0,0
427,11/02/18 04:19:40 PM,1,0
428,11/02/18 04:19:50 PM,0,1
429,11/02/18 04:20:00 PM,0,0
430,11/02/18 04:20:10 PM,0,0
431,11/02/18 04:20:20 PM,1,1
432,11/02/18 04:20:30 PM,1,1
433,11/02/18 04:20:40 PM,1,0
434,11/02/18 04:20:50 PM,1,1
435,11/02/18 04:21:00 PM,0,0
436,11/02/18 04:21:10 PM,1,1
437,11/02/18 04:21:20 PM,1,1
438,11/02/18 04:21:30 PM,0,0
439,11/02/18 04:21:40 PM,1,0
440,11/02/18 04:21:50 PM,1,1
441,11/02/18 04:22:00 PM,1,1
442,11/02/18 04:22:10 PM,0,0
443,11/02/18 04:22:20 PM,0,0
444,11/02/18 04:22:30 PM,0,1
445,11/02/18 04:22:40 PM,1,0
446,11/02/18 04:22:50 PM,0,0
447,11/02/18 04:23:00 PM,1,1
448,11/02/18 04:23:10 PM,0,0
449,11/02/18 04:23:20 PM,0,0
450,11/02/18 04:23:30 PM,1,1
451,11/02/18 04:23:40 PM,0,0
452,11/02/18 04:23:50 PM,0,1
453,11/02/18 04:24:00 PM,1,0
454,11/02/18 04:24:10 PM,0,0
455,11/02/18 04:24:20 PM,1,1
456,11/02/18 04:24:30 PM,1,1
457,11/02/18 04:24:40 PM,0,0
458,11/02/18 04:24:50 PM,1,1
459,11/02/18 04:25:00 PM,1,1
460,11/02/18 04:25:10 PM,0,0
461,11/02/18 04:25:20 PM,1,1
462,11/02/18 04:25:30 PM,1,1
463,11/02/18 04:25:40 PM,0,0
464,11/02/18 04:25:50 PM,0,0
465,11/02/18 04:26:00 PM,0,0
466,11/02/18 04:26:10 PM,0,0
467,11/02/18 04:26:20 PM,1,1
468,11/02/18 04:26:30 PM,0,0
469,11/02/18 04:26:40 PM,1,1
470,11/02/18 04:26:50 PM,0,0
471,11/02/18 04:27:00 PM,0,0
472,11/02/18 04:27:10 PM,1,1
473,11/02/18 04:27:20 PM,1,1
474,11/02/18 04:27:30 PM,1,1
475,11/02/18 04:27:40 PM,0,0
476,11/02/18 04:27:50 PM,0,0
477,11/02/18 04:28:00 PM,1,0
478,11/02/18 04:28:10 PM,0,1
479,11/02/18 04:28:20 PM,1,1
480,11/02/18 04:28:30 PM,1,1
481,11/02/18 04:28:40 PM,0,0
482,11/02/18 04:28:50 PM,1,0
483,11/02/18 04:29:00 PM,1,1
484,11/02/18 04:29:10 PM,1,1
485,11/02/18 04:29:20 PM,0,0
486,11/02/18 04:29:30 PM,0,1
487,11/02/18 04:29:40 PM,0,0
488,11/02/18 04:29:50 PM,1,1
489,11/02/18 04:30:00 PM,0,0
490,11/02/18 04:30:10 PM,1,1
491,11/02/18 04:30:20 PM,1,1
492,11/02/18 04:30:30 PM,0,0
493,11/02/18 04:30:40 PM,0,1
494,11/02/18 04:30:50 PM,1,1
495,11/02/18 04:31:00 PM,1,1
496,11/02/18 04:31:10 PM,1,1
497,11/02/18 04:31:20 PM,0,0
498,11/02/18 04:31:30 PM,1,1
499,11/02/18 04:31:40 PM,0,1
500,11/02/18 04:31:50 PM,1,1
501,11/02/18 04:32:00 PM,1,1
502,11/02/18 04:32:10 PM,1,1
503,11/02/18 04:32:20 PM,1,0
504,11/02/18 04:32:30 PM,0,0
505,11/02/18 04:32:40 PM,1,1
